FMID,MarketName,Website,Facebook,Facebook_Link,Twitter,Twitter_Link,Youtube,Youtube_Link,OtherMedia,OtherMedia_Link,street,street_valid,city,city_valid,County,County_valid,State,zip,zip_valid,full_address,Season1Date,Season1StartDate,Season1EndDate,Season1Time,Season2Date,Season2StartDate,Season2EndDate,Season2Time,Season3Date,Season3StartDate,Season3EndDate,Season3Time,Season4Date,Season4StartDate,Season4EndDate,Season4Time,longitude,latitude,Location,Credit,WIC,WICcash,SFMNP,SNAP,Organic,Organic_valid,Bakedgoods,Cheese,Crafts,Flowers,Eggs,Seafood,Herbs,Vegetables,Honey,Jams,Maple,Meat,Nursery,Nuts,Plants,Poultry,Prepared,Soap,Trees,Wine,Coffee,Beans,Fruits,Grains,Juices,Mushrooms,PetFood,Tofu,WildHarvested,updateTime
1009491,Berkeley Lakeside Market,http://www.berkeleylakesidemarket.mudfairyfarm.com/,https://www.facebook.com/BerkeleyLakesideMarket,https://www.facebook.com/BerkeleyLakesideMarket,,,,,,,4043 South Berkeley Lake Rd,4043 South Berkeley,Berkeley Lake,Berkeley Lake,,,Georgia,30096,30096,"4043 South Berkeley, Berkeley Lake, Georgia 30096",,,,,,,,,,,,,,,,,-84.1883,33.9851,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-01-01T01:00:00Z
1005183,Berkeley Springs Farmers Market,http://www.berkeleyspringsfarmersmarket.com,https://www.facebook.com/pages/Berkeley-Springs-Farmers-Market/354062496235,https://www.facebook.com/pages/Berkeley-Springs-Farmers-Market/354062496235,,,,,,,Fairfax Street at Washington Street,,Berkeley Springs,Berkeley Springs,Morgan,Morgan,West Virginia,25411,25411,,04/07/2013 to 12/15/2013,2013-04-07T00:00:00Z,2013-12-15T00:00:00Z,Thu: 2:00 PM-5:00 PM;Sun: 10:00 AM-2:00 PM;,,,,,,,,,,,,,-78.227638,39.626698,Closed-off public street,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,2014-03-13T15:37:06Z
1007371,Berkshire - Rome Vendors' Market,,,,,,,,,,101 block West Dominick,101 block West,Rome,Rome,Oneida,Oneida,New York,13440,13440,"101 block West, Rome, New York 13440",05/02/2014 to 11/07/2014,2014-05-02T00:00:00Z,2014-11-07T00:00:00Z,Fri: 9:00 AM-5:00 PM;,,,,,,,,,,,,,-75.45830699999999,43.210056,Private business parking lot,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,N,N,N,Y,N,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,2014-03-20T09:51:58Z
1004320,Berkshire Area Farmers Market,,,,,,,,,,Mall Road,,Lanesboro,Lanesboro,Berkshire,Berkshire,Massachusetts,,,,May to November,,,Wed:8:00 AM - 2:00 PM;Sat:8:00 AM - 2:00 PM;,,,,,,,,,,,,,-73.207,42.49,Other,Y,Y,N,Y,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2012-08-14T14:51:10Z
1005773,Berkshire Grown Winter Farmers' Market Great Barrington,http://berkshiregrown.org/programs/winter-farmers-markets/,https://www.facebook.com/BerkshireGrown,https://www.facebook.com/BerkshireGrown,,,,,,,313 Monument Valley Road,313 Monument Valley,Great Barrington,Great Barrington,Berkshire,Berkshire,Massachusetts,01230,01230,"313 Monument Valley, Great Barrington, Massachusetts 01230",11/19/2016 to 02/18/2017,2016-11-19T00:00:00Z,2017-02-18T00:00:00Z,Sat: 10:00 AM-2:00 PM;,,,,,,,,,,,,,-73.3288593,42.244139399999995,,Y,N,N,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,Y,Y,Y,N,N,Y,N,Y,N,2016-03-28T13:46:37Z
1011835,Berkshire Grown Winter Farmers' Market- Williamstown,http://berkshiregrown.org/programs/winter-farmers-markets/,https://www.facebook.com/BerkshireGrown,https://www.facebook.com/BerkshireGrown,,,,,,,Williams College Field House- Latham Street,,Williamstown,Williamstown,Berkshire,Berkshire,Massachusetts,01267,01267,,11/20/2016 to 12/18/2016,2016-11-20T00:00:00Z,2016-12-18T00:00:00Z,Sun: 10:00 AM-2:00 PM;,,,,,,,,,,,,,-73.2035441,42.708838799999995,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,N,Y,N,2016-03-28T13:45:31Z
1001622,"Berkshire Harmony Downtown Pittsfield Farmers Markets, Music, and Creative Arts Fair",http://www.berkshireharmony.com,,,,,,,,,"Foote Farm, 51 Holmes Road",,Pittsfield,Pittsfield,Berkshire,Berkshire,Massachusetts,01201,01201,,May to October,,,Tue:2:00 PM - 6:00 PM;Thu:2:00 PM - 8:00 PM;Sat:9:00 AM - 1:00 PM;,,,,,,,,,,,,,-73.253489,42.448217,Other,N,Y,N,Y,N,-,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2012-05-24T14:52:23Z
1007659,Berlin  Farmers' Market,http://www.berlinchamber.org/event-farmers-market,,,,,,,,,N. Main & West St.- Downtown Historic Berlin,,Berlin,Berlin,Worcester,Worcester,Maryland,21811,21811,,,,,,,,,,,,,,,,,,-76.8194,39.0641,,N,Y,N,Y,N,-,,Y,N,N,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,2011-07-24T09:17:13Z
1011942,Berlin Farmers & Artists Market,http://berlinwi.wix.com/market,https://www.facebook.com/Berlin.WI.FarmersMarket/,https://www.facebook.com/Berlin.WI.FarmersMarket/,,,https://www.youtube.com/channel/UC3KCiT-hRPL-_YUduEUIuvw,https://www.youtube.com/channel/UC3KCiT-hRPL-_YUduEUIuvw,,,N State Street and E Huron St,,Berlin ,Berlin,Green Lake,Green Lake,Wisconsin,54923,54923,,06/07/2016 to 08/30/2016,2016-06-07T00:00:00Z,2016-08-30T00:00:00Z,Tue: 4:00 PM-7:30 PM;,,,,,,,,,,,,,-88.942278,43.968876,,Y,Y,Y,Y,Y,-,,N,Y,Y,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,N,2016-05-09T14:06:52Z
1012087,BERLIN FARMERS MARKET,,https://www.facebook.com/Berlin-Farmers-Market-Berlin-Ct-390030617712122/,https://www.facebook.com/Berlin-Farmers-Market-Berlin-Ct-390030617712122/,,,,,,,,,Berlin,Berlin,Hartford,Hartford,Connecticut,06037,06037,,06/11/2016 to 09/24/2016,2016-06-11T00:00:00Z,2016-09-24T00:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,,,,,,,-72.786014,41.643845,,Y,N,N,N,N,N,N,Y,N,Y,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,Y,N,Y,N,N,2016-06-28T19:20:58Z
1011252,Berlin Local Works Farmers' Market,http://www.wrenworks.org,https://www.facebook.com/berlin.farmersmarket,https://www.facebook.com/berlin.farmersmarket,,,,,,,Pleasant St. Rt16S,,Berlin ,Berlin,Coos,Coos,New Hampshire,03570,03570,,06/25/2015 to 09/17/2015,2015-06-25T00:00:00Z,2015-09-17T00:00:00Z,Thu: 3:00 PM-7:00 PM;,,,,,,,,,,,,,-71.18306,44.469527,,Y,N,N,N,Y,-,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,Y,N,N,N,N,Y,N,N,N,N,N,Y,2015-06-17T19:12:13Z
1001424,Bernardston Farmers' Market,,https://www.facebook.com/pages/Bernardston-Farmers-Market-Sat-10-1/250630118284345,https://www.facebook.com/pages/Bernardston-Farmers-Market-Sat-10-1/250630118284345,,,,,,,58 Church St.,58 Church St,Bernardston,Bernardston,Franklin,Franklin,Massachusetts,01337,01337,"58 Church St, Bernardston, Massachusetts 01337",05/31/2014 to ,,,Sat: 10:00 AM-1:00 PM;,,,,,,,,,,,,,-72.54895259999999,42.6710011,"Faith-based institution (e.g., church, mosque, synagogue, temple)",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,Y,N,N,Y,N,N,N,2014-04-24T09:18:13Z
1011221,Bernice Garden Farmers' Market,http://www.thebernicegarden.org/?portfolio=farmers-market,https://m.facebook.com/pages/Bernice-Garden-Farmers-Market/192032990911029?fref=ts,https://m.facebook.com/pages/Bernice-Garden-Farmers-Market/192032990911029?fref=ts,,,,,,,1401 S Main Street,1401 S Main,Little Rock,Little Rock,Pulaski,Pulaski,Arkansas,72202,72202,"1401 S Main, Little Rock, Arkansas 72202",03/22/2015 to 11/22/2015,2015-03-22T00:00:00Z,2015-11-22T00:00:00Z,Sun: 10:00 AM-2:00 PM;,,,,,,,,,,,,,-92.272565,34.7350179,,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,N,Y,N,N,2015-06-09T01:40:24Z
1002802,Berrien County farmer's market,http://www.Better hometown.com,,,,,,,,,Marion Street,,Nashville,Nashville,Berrien,Berrien,Georgia,31639,31639,,,,,Thu: 10:00 AM-5:00 PM;Fri: 10:00 AM-5:00 PM;Sat: 8:00 AM-5:00 PM;,04/01/2014 to 12/01/2014,2014-04-01T00:00:00Z,2014-12-01T00:00:00Z,Thu: 9:00 AM-6:00 PM;Fri: 9:00 AM-6:00 PM;Sat: 9:00 AM-3:00 PM;,,,,,,,,,-83.245211,31.206709000000004,Private business parking lot,N,N,N,N,N,N,N,Y,N,Y,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,2014-04-04T14:09:32Z
1010605,Berry's Produce & Country Market,,,,,,,,,,1415  W. Brumfield Ave.,,Princeton ,Princeton,Gibson,Gibson,Indiana,47670,47670,,,,,,,,,,,,,,,,,,-87.58380600000001,38.357541999999995,,Y,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-25T12:03:49Z
1011447,Berryessa Farmers' Market,http://www.pcfma.org,www.facebook.com/BerryessaFarmersMarket,www.facebook.com/BerryessaFarmersMarket,www.twitter.com/PacCoastFarmers,www.twitter.com/PacCoastFarmers,,,,,1376 Piedmont Road,1376 Piedmont Road,San Jose ,San Jose,Santa Clara,Santa Clara,California,95132,95132,"1376 Piedmont Road, San Jose, California 95132",01/01/2015 to 12/31/2015,2015-01-01T00:00:00Z,2015-12-31T00:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,,,,,,,-121.84736799999999,37.40204,,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,Y,Y,N,N,N,N,N,Y,Y,Y,N,Y,N,N,N,Y,N,N,Y,N,N,N,2015-07-20T14:02:27Z
1004403,berryville farmers' market,,https://www.facebook.com/pages/Berryville-Farmers-market/406568499439280,https://www.facebook.com/pages/Berryville-Farmers-market/406568499439280,,,,,,,,,berryville,berryville,Carroll,Carroll,Arkansas,72616,72616,,04/01/2014 to 10/01/2014,2014-04-01T00:00:00Z,2014-10-01T00:00:00Z,Sat: 7:00 AM-12:00 PM;,,,,,,,,,,,,,-93.567287,36.364472,,Y,Y,N,Y,N,N,N,Y,N,Y,N,Y,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,2016-06-28T11:51:58Z
1011149,Berthoud Local Farmers Market,http://berthoudlocal.org,facebook.com/berthoudlocal,facebook.com/berthoudlocal,,,,,,,620 Mountin Ave.,620 Mountin Ave,Berthoud,Berthoud,Larimer,Larimer,Colorado,80513,80513,"620 Mountin Ave, Berthoud, Colorado 80513",06/25/2016 to 09/24/2016,2016-06-25T00:00:00Z,2016-09-24T00:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,,,,,,,-105.08263600000001,40.305329,,Y,N,N,N,N,-,,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,2016-06-27T14:47:50Z
1011685,Berwick Winter Farmers' Market,https://berwickfarmersmarket.wordpress.com/,https://www.facebook.com/berwickmainefarmersmarket,https://www.facebook.com/berwickmainefarmersmarket,,,,,,,11 Sullivan Square,11 Sullivan Square,Berwick,Berwick,York,York,Maine,03901,03901,"11 Sullivan Square, Berwick, Maine 03901",11/20/2016 to 04/23/2017,2016-11-20T00:00:00Z,2017-04-23T00:00:00Z,Sun: 10:00 AM-1:30 PM;,,,,,,,,,,,,,-70.8649912,43.2668068,,Y,N,N,N,N,-,,Y,Y,Y,N,N,N,N,Y,Y,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,Y,2016-07-12T18:10:12Z
1010832,Berwyn Township Farmer's Market,http://berwyntownshipfarmersmarket.org/,Berwyn Township Farmers' Market,,,,,,,,"Lesak Park, 6600 W. 26th Street",,Berwyn,Berwyn,Cook,Cook,Illinois,60402,60402,,06/14/2015 to 10/25/2015,2015-06-14T00:00:00Z,2015-10-25T00:00:00Z,Sun: 10:00 AM-2:00 PM;,,,,,,,,,,,,,-87.78828890000001,41.84331029999999,,Y,N,N,N,N,-,,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,N,Y,N,Y,Y,N,N,Y,N,Y,N,N,N,Y,N,N,2015-02-20T09:45:51Z
1018067,Bessemer Farmers Market at Medical West,https://www.bessemerfarmersmarket.com/,https://www.facebook.com/BessemerFarmersMarket,https://www.facebook.com/BessemerFarmersMarket,,,,,https://www.instagram.com/bessemer_farmers_market/,https://www.instagram.com/bessemer_farmers_market/,995 9th Ave. SW,,Bessemer ,Bessemer,Jefferson,Jefferson,Alabama,35022,35022,,06/05/2017 to 09/28/2017,2017-06-05T00:00:00Z,2017-09-28T00:00:00Z,Mon: 11:00 AM-2:00 PM;,,,,,,,,,,,,,-86.990601,33.372341999999996,,Y,N,N,Y,Y,-,,N,N,Y,Y,Y,N,Y,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,2017-06-15T09:33:04Z
1016774,Bethany Beach Farmers' Market,http://www.bethanybeachfarmersmarket.com/,bethany beach farmers market,,,,,,,,Garfield Pky and Pennsylvania Ave,,Bethany Beach ,Bethany Beach,Sussex,Sussex,Delaware,19930,19930,,,,,Sun: 8:00 AM-12:00 PM;,,,,,,,,,,,,,-75.05740300000001,38.538292,,Y,N,N,N,N,Y,Y,Y,N,N,Y,N,N,Y,Y,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,Y,N,N,N,2016-11-27T09:55:16Z
1005277,Bethany Farmers Market,http://www.bethanyfarmersmarket.com,https://www.facebook.com/pages/Bethany-CT-Farmers-Market/171830646224253,https://www.facebook.com/pages/Bethany-CT-Farmers-Market/171830646224253,,,,,,,711 Amity Rd ,711 Amity Rd,Bethany,Bethany,New Haven,New Haven,Connecticut,06524,06524,"711 Amity Rd, Bethany, Connecticut 06524",07/02/2016 to 10/08/2016,2016-07-02T00:00:00Z,2016-10-08T00:00:00Z,Sat: 9:00 AM-1:00 PM;,,,,,,,,,,,,,-72.9914827,41.4385519,,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,Y,N,Y,N,Y,N,N,N,N,2016-06-27T22:01:46Z
1007052,Bethany Farmers Market,,,,,,,,,,Parking Lot Asbury & 38th,,Bethany,Bethany,Oklahoma,Oklahoma,Oklahoma,,,,,,,,,,,,,,,,,,,,-97.5095,35.584,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012-03-01T10:14:40Z
1010111,Bethany Farmers' Market,,,,,,,,,,3606 Miller St.,3606 Miller St,Bethany,Bethany,Harrison,Harrison,Missouri,64424,64424,"3606 Miller St, Bethany, Missouri 64424",04/26/2014 to 10/25/2014,2014-04-26T00:00:00Z,2014-10-25T00:00:00Z,Sat: 7:30 AM-;,06/28/2014 to 09/27/2014,2014-06-28T00:00:00Z,2014-09-27T00:00:00Z,Wed: 3:30 PM-;Sat: 7:30 AM-;,,,,,,,,,-94.017747,40.264977,Private business parking lot,N,N,N,N,N,-,,Y,N,Y,N,Y,N,N,Y,N,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,Y,N,N,Y,N,N,N,2014-05-06T20:19:22Z
1004386,Bethel Farmers Market,,,,,,,,,,Bethel Band Shell Common,,Bethel,Bethel,Windsor,Windsor,Vermont,05089,05089,,,,,,,,,,,,,,,,,,-72.6461,43.8444,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-01-01T01:00:00Z
1003666,Bethel Farmers Market,http://www.bethelfarmersmarket.com,https://www.facebook.com/pages/Bethel-Farmers-Market/154633517928274,https://www.facebook.com/pages/Bethel-Farmers-Market/154633517928274,,,,,,,2 Parkway,,Bethel,Bethel,Oxford,Oxford,Maine,04217,04217,,May to October,,,Sat:9:00 AM - 1:00 PM;,,,,,,,,,,,,,-70.794075,44.412017999999996,Private business parking lot,Y,N,N,Y,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,2012-04-30T15:13:32Z
1007462,Bethel Farmers Market,,,,,,,,,,"Rte 6, Bethel & Fairfield County Ext Service Bldg.",,Bethel,Bethel,Fairfield,Fairfield,Connecticut,06801,06801,,,,,,,,,,,,,,,,,,-73.3838,41.4149,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-01-01T01:00:00Z
1000745,Bethesda - Farm Women's Market,http://www.farmwomensmarket.com,https://www.facebook.com/pages/Bethesda-Farm-Womens-Market/697706890333533,https://www.facebook.com/pages/Bethesda-Farm-Womens-Market/697706890333533,https://twitter.com/BethFWM,https://twitter.com/BethFWM,https://youtu.be/0bs5rEYAZYQ,,,,7155 Wisconsin Avenue,7155 Wisconsin Avenue,Bethesda,Bethesda,Montgomery,Montgomery,Maryland,20814,20814,"7155 Wisconsin Avenue, Bethesda, Maryland 20814",01/01/2015 to 12/31/2015,2015-01-01T00:00:00Z,2015-12-31T00:00:00Z,Wed: 7:00 AM-4:00 PM;Fri: 7:00 AM-4:00 PM;Sat: 7:00 AM-4:00 PM;Sun: 8:00 AM-4:00 PM;,,,,,,,,,,,,,-77.09232,38.98105,,Y,N,N,N,N,-,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,Y,Y,N,Y,Y,Y,Y,N,N,Y,2015-07-28T15:23:18Z
1010406,Bethesda Central Farm Market,http://www.centralfarmmarkets.com,www.facebook.com/CentralFarmMarkets,www.facebook.com/CentralFarmMarkets,@CentralFarmMKTs,,,,http://dishingthedirtblog.wordpress.com/,http://dishingthedirtblog.wordpress.com/,7600 Arlington Road,7600 Arlington Road,Bethesda ,Bethesda,Montgomery,Montgomery,Maryland,20814,20814,"7600 Arlington Road, Bethesda, Maryland 20814",01/04/2015 to 03/29/2015,2015-01-04T00:00:00Z,2015-03-29T00:00:00Z,Sun: 10:00 AM-1:30 PM;,04/05/2015 to 12/27/2015,2015-04-05T00:00:00Z,2015-12-27T00:00:00Z,Sun: 9:00 AM-1:30 PM;,,,,,,,,,-77.099203,38.987028,,Y,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,N,Y,Y,N,Y,N,Y,Y,Y,N,Y,2015-03-23T22:00:25Z
1012494,Bethlehem Farmers' Market,http://www.bethlehemfarmersmarket.com,facebook.com/BethlehemFarmersMarketPA,facebook.com/BethlehemFarmersMarketPA,twitter.com/BethFarmMkt,twitter.com/BethFarmMkt,,,instagram.com/bethlehemfarmersmarket,instagram.com/bethlehemfarmersmarket,Intersection of New and Morton Streets,,Bethlehem,Bethlehem,Lehigh,Lehigh,Pennsylvania,18015,18015,,05/05/2016 to 10/27/2016,2016-05-05T00:00:00Z,2016-10-27T00:00:00Z,Thu: 11:00 AM-3:00 PM;,,,,,,,,,,,,,-75.37840290000001,40.6098058,,Y,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,Y,N,Y,N,Y,N,Y,N,Y,Y,Y,N,N,N,N,Y,N,N,N,N,N,N,2016-07-12T14:16:56Z
1018161,Bettendorf Farmers' Market,http://mvgrowers.com,Mississippi Valley Growers farmers Market,,,,,,,,2117 State St.,2117 State St,Bettendorf ,Bettendorf,Scott,Scott,Iowa,52722,52722,"2117 State St, Bettendorf, Iowa 52722",05/01/2017 to 10/30/2017,2017-05-01T00:00:00Z,2017-10-30T00:00:00Z,Mon: 2:30 AM-5:30 AM;Thu: 2:30 AM-5:30 AM;,,,,,,,,,,,,,-90.50198499999999,41.525159,,Y,Y,Y,Y,Y,-,,Y,N,N,Y,Y,N,N,Y,Y,Y,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,N,N,N,Y,N,Y,2017-06-20T13:58:41Z
1005222,Better Lives Today Farmers' Market,http://www.betterlivestoday.org,,,,,,,,,"222 S. Pine, Pine and McClurg",222 S. Pine,Richland,Richland,Pulaski,Pulaski,Missouri,65556,65556,"222 S. Pine, Richland, Missouri 65556",May to August,,,Sat:8:00 AM - 12:00 PM;,,,,,,,,,,,,,-92.4043396,37.8569838,,N,N,N,N,N,-,,Y,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,2012-06-05T11:22:29Z
1000335,Beverly Farmers Market,http://www.beverlyfarmersmarket.org,https://www.facebook.com/beverlyfarmersmarket,https://www.facebook.com/beverlyfarmersmarket,https://twitter.com/BevFarmersMkt,https://twitter.com/BevFarmersMkt,,,,,Rantoul Street and Railroad Ave.,,Beverly,Beverly,Essex,Essex,Massachusetts,01915,01915,,06/16/2014 to 10/06/2014,2014-06-16T00:00:00Z,2014-10-06T00:00:00Z,Mon: 3:00 PM-7:00 PM;,,,,,,,,,,,,,-70.884345,42.54678,Local government building grounds,Y,Y,N,Y,Y,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,Y,N,Y,N,Y,4/2/2014 12:42:39 PM
1001460,Beverly Hills Farmers Market,http://www.beverlyhills.org/farmersmarket,https://www.facebook.com/BHFarmersMarket,https://www.facebook.com/BHFarmersMarket,,,,,,,9300 Civic Center Drive,9300 Civic Center,Beverly Hills,Beverly Hills,Los Angeles,Los Angeles,California,90210,90210,"9300 Civic Center, Beverly Hills, California 90210",01/01/2013 to 12/31/2013,2013-01-01T00:00:00Z,2013-12-31T00:00:00Z,Sun: 9:00 AM-1:00 PM;,,,,,,,,,,,,,-118.39890700000001,34.074257,Closed-off public street,Y,Y,N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,N,N,2014-03-17T10:52:28Z
1018429,BeWell Mauldin Market,http://www.mauldinculturalcenter.org/events/amphitheater-season/mauldin-market/,https://www.facebook.com/mauldinmarket/,https://www.facebook.com/mauldinmarket/,,,,,https://www.instagram.com/mauldinmarket/,https://www.instagram.com/mauldinmarket/,101 East Butler Road,101 East Butler,Mauldin,Mauldin,Greenville,Greenville,South Carolina,29662,29662,"101 East Butler, Mauldin, South Carolina 29662",06/03/2017 to 08/26/2017,2017-06-03T00:00:00Z,2017-08-26T00:00:00Z,Sat: 8:00 AM-12:00 PM;,,,,,,,,,,,,,-82.306386,34.780091999999996,,Y,N,N,N,N,-,,Y,Y,Y,N,N,N,N,Y,N,Y,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,2017-06-27T13:33:19Z
1009978,Bexley Farmers' Market,http://www.bexleyfarmersmarket.com,https://www.facebook.com/bexleyfarmersmarket,https://www.facebook.com/bexleyfarmersmarket,https://twitter.com/BexleyMarket,https://twitter.com/BexleyMarket,,,,,2111 East Main Street,2111 East Main,Bexley,Bexley,Franklin,Franklin,Ohio,43209,43209,"2111 East Main, Bexley, Ohio 43209",05/15/2014 to 10/30/2014,2014-05-15T00:00:00Z,2014-10-30T00:00:00Z,Thu: 4:00 PM-7:00 PM;,,,,,,,,,,,,,-82.94254699999999,39.957118,Private business parking lot,Y,Y,Y,Y,Y,-,,Y,Y,N,Y,Y,N,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,Y,N,Y,N,N,N,N,N,N,2014-04-19T18:14:56Z
1004627,Bibb County Farmers Market,,,,,,,,,,155 Birmingham Highway,155 Birmingham Highway,Centreville,Centreville,Bibb,Bibb,Alabama,35042,35042,"155 Birmingham Highway, Centreville, Alabama 35042",,,,,,,,,,,,,,,,,-87.1386,32.9446,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009-01-01T01:00:00Z
1005949,Big Bear Farmers Market,http://www.highdesertfarmersmarket.com,https://www.facebook.com/BigBearFarmersMarket,https://www.facebook.com/BigBearFarmersMarket,,,,,,,42900 Big Bear Blvd,42900 Big Bear,City of Big Bear Lake,City of Big Bear Lake,San Bernardino,San Bernardino,California,92315,92315,"42900 Big Bear, City of Big Bear Lake, California 92315",04/01/2014 to 09/30/2014,2014-04-01T00:00:00Z,2014-09-30T00:00:00Z,Tue: 8:30 AM-1:00 PM;,,,,,,,,,,,,,-116.86686399999999,34.26122,Private business parking lot,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,Y,Y,N,Y,N,Y,Y,N,Y,Y,N,N,2014-03-24T18:23:03Z
1002540,Big Flats Community Market,,,,,,,,,,476 Maple Street,476 Maple Street,,,Chemung,Chemung,New York,,,,,,,,,,,,,,,,,,,,-73.945,40.6612,,N,N,N,N,N,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-06-25T21:15:45Z
1011915,Big Horn Basin Farmers Market Cody,http://basinmarket.com,https://www.facebook.com/BigHornBasinFarmerMarket/,https://www.facebook.com/BigHornBasinFarmerMarket/,,,,,,, 720 Sheridan Ave,,Cody,Cody,Park,Park,Wyoming,82414,82414,,06/09/2016 to 10/27/2016,2016-06-09T00:00:00Z,2016-10-27T00:00:00Z,Thu: 4:30 PM-6:30 PM;,,,,,,,,,,,,,-109.07420330000001,44.524237899999996,,Y,N,N,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,2016-05-03T15:46:03Z
